date,start,end,11WD2BURG000145R
7022019,03:00,04:00,
7022019,04:00,05:00,
7022019,05:00,06:00,
7022019,06:00,07:00,
7022019,07:00,08:00,
7022019,08:00,09:00,
7022019,09:00,10:00,
7022019,10:00,11:00,
7022019,11:00,12:00,
7022019,12:00,13:00,
7022019,13:00,14:00,
7022019,14:00,15:00,
7022019,15:00,16:00,
7022019,16:00,17:00,
7022019,17:00,18:00,
7022019,18:00,19:00,
7022019,19:00,20:00,
7022019,20:00,21:00,
7022019,21:00,22:00,
7022019,22:00,23:00,
7022019,23:00,00:00,
8022019,00:00,01:00,
8022019,01:00,02:00,
8022019,02:00,03:00,
8022019,03:00,04:00,
8022019,04:00,05:00,
8022019,05:00,06:00,
8022019,06:00,07:00,
8022019,07:00,08:00,
8022019,08:00,09:00,
8022019,09:00,10:00,
8022019,10:00,11:00,
8022019,11:00,12:00,
8022019,12:00,13:00,
8022019,13:00,14:00,
8022019,14:00,15:00,
8022019,15:00,16:00,
8022019,16:00,17:00,
8022019,17:00,18:00,
8022019,18:00,19:00,
8022019,19:00,20:00,
8022019,20:00,21:00,
8022019,21:00,22:00,
8022019,22:00,23:00,
8022019,23:00,00:00,
9022019,00:00,01:00,
9022019,01:00,02:00,
9022019,02:00,03:00,
9022019,03:00,04:00,
9022019,04:00,05:00,
9022019,05:00,06:00,
9022019,06:00,07:00,
9022019,07:00,08:00,
9022019,08:00,09:00,
9022019,09:00,10:00,
9022019,10:00,11:00,
9022019,11:00,12:00,
9022019,12:00,13:00,
9022019,13:00,14:00,
9022019,14:00,15:00,
9022019,15:00,16:00,
9022019,16:00,17:00,
9022019,17:00,18:00,
9022019,18:00,19:00,
9022019,19:00,20:00,
9022019,20:00,21:00,
9022019,21:00,22:00,
9022019,22:00,23:00,
9022019,23:00,00:00,
10022019,00:00,01:00,
10022019,01:00,02:00,
10022019,02:00,03:00,
10022019,03:00,04:00,
10022019,04:00,05:00,
10022019,05:00,06:00,
10022019,06:00,07:00,
10022019,07:00,08:00,
10022019,08:00,09:00,
10022019,09:00,10:00,
10022019,10:00,11:00,
10022019,11:00,12:00,
10022019,12:00,13:00,
10022019,13:00,14:00,
10022019,14:00,15:00,
10022019,15:00,16:00,
10022019,16:00,17:00,
10022019,17:00,18:00,
10022019,18:00,19:00,
10022019,19:00,20:00,
10022019,20:00,21:00,
10022019,21:00,22:00,
10022019,22:00,23:00,
10022019,23:00,00:00,
11022019,00:00,01:00,
11022019,01:00,02:00,
11022019,02:00,03:00,
11022019,03:00,04:00,
11022019,04:00,05:00,
11022019,05:00,06:00,
11022019,06:00,07:00,
11022019,07:00,08:00,
11022019,08:00,09:00,
11022019,09:00,10:00,
11022019,10:00,11:00,
11022019,11:00,12:00,
11022019,12:00,13:00,
11022019,13:00,14:00,
11022019,14:00,15:00,
11022019,15:00,16:00,
11022019,16:00,17:00,
11022019,17:00,18:00,
11022019,18:00,19:00,
11022019,19:00,20:00,
11022019,20:00,21:00,
11022019,21:00,22:00,
11022019,22:00,23:00,
11022019,23:00,00:00,
12022019,00:00,01:00,
12022019,01:00,02:00,
12022019,02:00,03:00,
12022019,03:00,04:00,
12022019,04:00,05:00,
12022019,05:00,06:00,
12022019,06:00,07:00,
12022019,07:00,08:00,
12022019,08:00,09:00,
12022019,09:00,10:00,
12022019,10:00,11:00,
12022019,11:00,12:00,
12022019,12:00,13:00,
12022019,13:00,14:00,
12022019,14:00,15:00,
12022019,15:00,16:00,
12022019,16:00,17:00,
12022019,17:00,18:00,
12022019,18:00,19:00,
12022019,19:00,20:00,
12022019,20:00,21:00,
12022019,21:00,22:00,
12022019,22:00,23:00,
12022019,23:00,00:00,
13022019,00:00,01:00,
13022019,01:00,02:00,
13022019,02:00,03:00,
13022019,03:00,04:00,
13022019,04:00,05:00,
13022019,05:00,06:00,
13022019,06:00,07:00,
13022019,07:00,08:00,
13022019,08:00,09:00,
13022019,09:00,10:00,
13022019,10:00,11:00,
13022019,11:00,12:00,
13022019,12:00,13:00,
13022019,13:00,14:00,
13022019,14:00,15:00,
13022019,15:00,16:00,
13022019,16:00,17:00,
13022019,17:00,18:00,
13022019,18:00,19:00,
13022019,19:00,20:00,
13022019,20:00,21:00,
13022019,21:00,22:00,
13022019,22:00,23:00,
13022019,23:00,00:00,
14022019,00:00,01:00,
14022019,01:00,02:00,
14022019,02:00,03:00,
14022019,03:00,04:00,
14022019,04:00,05:00,
14022019,05:00,06:00,
14022019,06:00,07:00,
14022019,07:00,08:00,
14022019,08:00,09:00,
14022019,09:00,10:00,
14022019,10:00,11:00,
14022019,11:00,12:00,
14022019,12:00,13:00,
14022019,13:00,14:00,
