Timestamp,11WD7NIED2B--D-E,11WD7NIED2B--C-H,11WD7NIED2B--E-B,11WD7NIED2B--F-8,11WD7NIED1B--G-C,11WD7NIED1B--H-9,11WD7NIED1B--K-0
2020-01-01 00:00:00,0,268,,,0,0,934
2020-01-01 01:00:00,0,279,,,0,0,932
2020-01-01 02:00:00,0,279,,,0,0,927
2020-01-01 03:00:00,0,280,,,0,0,929
2020-01-01 04:00:00,0,278,,,0,0,929
2020-01-01 05:00:00,0,214,,,0,0,927
2020-01-01 06:00:00,0,155,,,0,0,927
2020-01-01 07:00:00,0,149,,,0,0,933
2020-01-01 08:00:00,0,150,,,0,0,927
2020-01-01 09:00:00,0,150,,,0,0,929
2020-01-01 10:00:00,0,150,,,0,0,927
2020-01-01 11:00:00,0,150,,,0,0,902
2020-01-01 12:00:00,0,150,,,0,0,907
2020-01-01 13:00:00,0,150,,,0,0,848
2020-01-01 14:00:00,0,175,,,0,0,928
2020-01-01 15:00:00,0,254,,,0,0,926
2020-01-01 16:00:00,0,278,,,0,0,931
2020-01-01 17:00:00,0,284,,,0,0,928
2020-01-01 18:00:00,0,284,,,0,0,931
2020-01-01 19:00:00,0,284,,,0,0,930
2020-01-01 20:00:00,0,280,,,0,0,929
2020-01-01 21:00:00,0,279,,,0,0,931
2020-01-01 22:00:00,0,275,,,0,0,930
2020-01-01 23:00:00,0,277,,,0,0,924
2020-01-02 00:00:00,0,219,,,0,0,925
2020-01-02 01:00:00,0,160,,,0,0,926
2020-01-02 02:00:00,0,149,,,0,0,928
2020-01-02 03:00:00,0,161,,,0,0,929
2020-01-02 04:00:00,0,153,,,0,0,917
2020-01-02 05:00:00,0,183,,,0,0,928
2020-01-02 06:00:00,0,262,,,0,0,923
2020-01-02 07:00:00,0,271,,,0,0,927
2020-01-02 08:00:00,0,249,,,0,0,925
2020-01-02 09:00:00,0,244,,,0,0,925
2020-01-02 10:00:00,0,245,,,0,0,929
2020-01-02 11:00:00,0,244,,,0,0,929
2020-01-02 12:00:00,0,245,,,0,0,928
2020-01-02 13:00:00,0,243,,,0,0,924
2020-01-02 14:00:00,0,245,,,0,0,926
2020-01-02 15:00:00,0,243,,,0,0,926
