Datum;Anfang;Ende;Generation_DE Block 6 Merkenich RheinEnergie [MW] Originalauflösungen;Generation_DE GuD Merkenich RheinEnergie [MW] Originalauflösungen;Generation_DE Block 4 Merkenich RheinEnergie [MW] Originalauflösungen
05.09.2022;00:00;01:00;-;-;-
05.09.2022;01:00;02:00;-;-;-
05.09.2022;02:00;03:00;-;-;-
05.09.2022;03:00;04:00;-;-;-
05.09.2022;04:00;05:00;-;-;-
05.09.2022;05:00;06:00;-;-;-
05.09.2022;06:00;07:00;-;-;-
05.09.2022;07:00;08:00;-;-;-
05.09.2022;08:00;09:00;-;-;-
05.09.2022;09:00;10:00;-;-;-
05.09.2022;10:00;11:00;-;-;-
05.09.2022;11:00;12:00;-;-;-
05.09.2022;12:00;13:00;-;-;-
05.09.2022;13:00;14:00;-;-;-
05.09.2022;14:00;15:00;-;-;-
05.09.2022;15:00;16:00;-;-;-
05.09.2022;16:00;17:00;-;-;-
05.09.2022;17:00;18:00;-;-;-
05.09.2022;18:00;19:00;-;-;-
05.09.2022;19:00;20:00;-;-;-
05.09.2022;20:00;21:00;-;-;-
05.09.2022;21:00;22:00;-;-;-
05.09.2022;22:00;23:00;-;-;-
05.09.2022;23:00;00:00;-;-;-
06.09.2022;00:00;01:00;-;-;-
06.09.2022;01:00;02:00;-;-;-
06.09.2022;02:00;03:00;-;-;-
06.09.2022;03:00;04:00;-;-;-
06.09.2022;04:00;05:00;-;-;-
06.09.2022;05:00;06:00;-;-;-
06.09.2022;06:00;07:00;-;-;-
06.09.2022;07:00;08:00;-;-;-
06.09.2022;08:00;09:00;-;-;-
06.09.2022;09:00;10:00;-;-;-
06.09.2022;10:00;11:00;-;-;-
06.09.2022;11:00;12:00;-;-;-
06.09.2022;12:00;13:00;-;-;-
06.09.2022;13:00;14:00;-;-;-
06.09.2022;14:00;15:00;-;-;-
06.09.2022;15:00;16:00;-;-;-
06.09.2022;16:00;17:00;-;-;-
06.09.2022;17:00;18:00;-;-;-
06.09.2022;18:00;19:00;-;-;-
06.09.2022;19:00;20:00;-;-;-
06.09.2022;20:00;21:00;-;-;-
06.09.2022;21:00;22:00;-;-;-
06.09.2022;22:00;23:00;-;-;-
06.09.2022;23:00;00:00;-;-;-
07.09.2022;00:00;01:00;-;-;-
07.09.2022;01:00;02:00;-;-;-
07.09.2022;02:00;03:00;-;-;-
07.09.2022;03:00;04:00;-;-;-
07.09.2022;04:00;05:00;-;-;-
07.09.2022;05:00;06:00;-;-;-
07.09.2022;06:00;07:00;-;-;-
07.09.2022;07:00;08:00;-;-;-
07.09.2022;08:00;09:00;-;-;-
07.09.2022;09:00;10:00;-;-;-
07.09.2022;10:00;11:00;-;-;-
07.09.2022;11:00;12:00;-;-;-
07.09.2022;12:00;13:00;-;-;-
07.09.2022;13:00;14:00;-;-;-
07.09.2022;14:00;15:00;-;-;-
07.09.2022;15:00;16:00;-;-;-
07.09.2022;16:00;17:00;-;-;-
07.09.2022;17:00;18:00;-;-;-
07.09.2022;18:00;19:00;-;-;-
07.09.2022;19:00;20:00;-;-;-
07.09.2022;20:00;21:00;-;-;-
07.09.2022;21:00;22:00;-;-;-
07.09.2022;22:00;23:00;-;-;-
07.09.2022;23:00;00:00;-;-;-
08.09.2022;00:00;01:00;-;-;-
08.09.2022;01:00;02:00;-;-;-
08.09.2022;02:00;03:00;-;-;-
08.09.2022;03:00;04:00;-;-;-
08.09.2022;04:00;05:00;-;-;-
08.09.2022;05:00;06:00;-;-;-
08.09.2022;06:00;07:00;-;-;-
08.09.2022;07:00;08:00;-;-;-
08.09.2022;08:00;09:00;-;-;-
08.09.2022;09:00;10:00;-;-;-
08.09.2022;10:00;11:00;-;-;-
08.09.2022;11:00;12:00;-;-;-
08.09.2022;12:00;13:00;-;-;-
08.09.2022;13:00;14:00;-;-;-
08.09.2022;14:00;15:00;-;-;-
08.09.2022;15:00;16:00;-;-;-
08.09.2022;16:00;17:00;-;-;-
08.09.2022;17:00;18:00;-;-;-
08.09.2022;18:00;19:00;-;-;-
08.09.2022;19:00;20:00;-;-;-
08.09.2022;20:00;21:00;-;-;-
08.09.2022;21:00;22:00;-;-;-
08.09.2022;22:00;23:00;-;-;-
08.09.2022;23:00;00:00;-;-;-
09.09.2022;00:00;01:00;-;-;-
09.09.2022;01:00;02:00;-;-;-
09.09.2022;02:00;03:00;-;-;-
09.09.2022;03:00;04:00;-;-;-
09.09.2022;04:00;05:00;-;-;-
09.09.2022;05:00;06:00;-;-;-
09.09.2022;06:00;07:00;-;-;-
09.09.2022;07:00;08:00;-;-;-
09.09.2022;08:00;09:00;-;-;-
09.09.2022;09:00;10:00;-;-;-
09.09.2022;10:00;11:00;-;-;-
09.09.2022;11:00;12:00;-;-;-
09.09.2022;12:00;13:00;-;-;-
09.09.2022;13:00;14:00;-;-;-
09.09.2022;14:00;15:00;-;-;-
09.09.2022;15:00;16:00;-;-;-
09.09.2022;16:00;17:00;-;-;-
09.09.2022;17:00;18:00;-;-;-
09.09.2022;18:00;19:00;-;-;-
09.09.2022;19:00;20:00;-;-;-
09.09.2022;20:00;21:00;-;-;-
09.09.2022;21:00;22:00;-;-;-
09.09.2022;22:00;23:00;-;-;-
09.09.2022;23:00;00:00;-;-;-
10.09.2022;00:00;01:00;-;-;-
10.09.2022;01:00;02:00;-;-;-
10.09.2022;02:00;03:00;-;-;-
10.09.2022;03:00;04:00;-;-;-
10.09.2022;04:00;05:00;-;-;-
10.09.2022;05:00;06:00;-;-;-
10.09.2022;06:00;07:00;-;-;-
10.09.2022;07:00;08:00;-;-;-
10.09.2022;08:00;09:00;-;-;-
10.09.2022;09:00;10:00;-;-;-
10.09.2022;10:00;11:00;-;-;-
10.09.2022;11:00;12:00;-;-;-
10.09.2022;12:00;13:00;-;-;-
10.09.2022;13:00;14:00;-;-;-
10.09.2022;14:00;15:00;-;-;-
10.09.2022;15:00;16:00;-;-;-
10.09.2022;16:00;17:00;-;-;-
10.09.2022;17:00;18:00;-;-;-
10.09.2022;18:00;19:00;-;-;-
10.09.2022;19:00;20:00;-;-;-
10.09.2022;20:00;21:00;-;-;-
10.09.2022;21:00;22:00;-;-;-
10.09.2022;22:00;23:00;-;-;-
10.09.2022;23:00;00:00;-;-;-
11.09.2022;00:00;01:00;-;0;-
11.09.2022;01:00;02:00;-;0;-
11.09.2022;02:00;03:00;-;0;-
11.09.2022;03:00;04:00;-;0;-
11.09.2022;04:00;05:00;-;0;-
11.09.2022;05:00;06:00;-;0;-
11.09.2022;06:00;07:00;-;0;-
11.09.2022;07:00;08:00;-;0;-
11.09.2022;08:00;09:00;-;0;-
11.09.2022;09:00;10:00;-;0;-
11.09.2022;10:00;11:00;-;0;-
11.09.2022;11:00;12:00;-;0;-
11.09.2022;12:00;13:00;-;0;-
11.09.2022;13:00;14:00;-;0;-
11.09.2022;14:00;15:00;-;0;-
11.09.2022;15:00;16:00;-;0;-
11.09.2022;16:00;17:00;-;0;-
11.09.2022;17:00;18:00;-;0;-
11.09.2022;18:00;19:00;-;0;-
11.09.2022;19:00;20:00;-;0;-
11.09.2022;20:00;21:00;-;0;-
11.09.2022;21:00;22:00;-;0;-
11.09.2022;22:00;23:00;-;0;-
11.09.2022;23:00;00:00;-;0;-
