Datum;Anfang;Ende;Generation_DE 3.0 [MW] Originalauflösungen;Generation_DE 1.0 [MW] Originalauflösungen;Generation_DE 2.0 [MW] Originalauflösungen;Generation_DE Datteln 4 [MW] Originalauflösungen
16.12.2019;00:00;01:00;-;-;-;-
16.12.2019;01:00;02:00;-;-;-;-
16.12.2019;02:00;03:00;-;-;-;-
16.12.2019;03:00;04:00;-;-;-;-
16.12.2019;04:00;05:00;-;-;-;-
16.12.2019;05:00;06:00;-;-;-;-
16.12.2019;06:00;07:00;-;-;-;-
16.12.2019;07:00;08:00;-;-;-;-
16.12.2019;08:00;09:00;-;-;-;-
16.12.2019;09:00;10:00;-;-;-;-
16.12.2019;10:00;11:00;-;-;-;-
16.12.2019;11:00;12:00;-;-;-;-
16.12.2019;12:00;13:00;-;-;-;-
16.12.2019;13:00;14:00;-;-;-;-
16.12.2019;14:00;15:00;-;-;-;-
16.12.2019;15:00;16:00;-;-;-;-
16.12.2019;16:00;17:00;-;-;-;-
16.12.2019;17:00;18:00;-;-;-;-
16.12.2019;18:00;19:00;-;-;-;-
16.12.2019;19:00;20:00;-;-;-;-
16.12.2019;20:00;21:00;-;-;-;-
16.12.2019;21:00;22:00;-;-;-;-
16.12.2019;22:00;23:00;-;-;-;-
16.12.2019;23:00;00:00;-;-;-;-
17.12.2019;00:00;01:00;-;-;-;-
17.12.2019;01:00;02:00;-;-;-;-
17.12.2019;02:00;03:00;-;-;-;-
17.12.2019;03:00;04:00;-;-;-;-
17.12.2019;04:00;05:00;-;-;-;-
17.12.2019;05:00;06:00;-;-;-;-
17.12.2019;06:00;07:00;-;-;-;-
17.12.2019;07:00;08:00;-;-;-;-
17.12.2019;08:00;09:00;-;-;-;-
17.12.2019;09:00;10:00;-;-;-;-
17.12.2019;10:00;11:00;-;-;-;-
17.12.2019;11:00;12:00;-;-;-;-
17.12.2019;12:00;13:00;-;-;-;-
17.12.2019;13:00;14:00;-;-;-;-
17.12.2019;14:00;15:00;-;-;-;-
17.12.2019;15:00;16:00;-;-;-;-
17.12.2019;16:00;17:00;-;-;-;-
17.12.2019;17:00;18:00;-;-;-;-
17.12.2019;18:00;19:00;-;-;-;-
17.12.2019;19:00;20:00;-;-;-;-
17.12.2019;20:00;21:00;-;-;-;-
17.12.2019;21:00;22:00;-;-;-;-
17.12.2019;22:00;23:00;-;-;-;-
17.12.2019;23:00;00:00;-;-;-;-
18.12.2019;00:00;01:00;-;-;-;-
18.12.2019;01:00;02:00;-;-;-;-
18.12.2019;02:00;03:00;-;-;-;-
18.12.2019;03:00;04:00;-;-;-;-
18.12.2019;04:00;05:00;-;-;-;-
18.12.2019;05:00;06:00;-;-;-;-
18.12.2019;06:00;07:00;-;-;-;-
18.12.2019;07:00;08:00;-;-;-;-
18.12.2019;08:00;09:00;-;-;-;-
18.12.2019;09:00;10:00;-;-;-;-
18.12.2019;10:00;11:00;-;-;-;-
18.12.2019;11:00;12:00;-;-;-;-
18.12.2019;12:00;13:00;-;-;-;-
18.12.2019;13:00;14:00;-;-;-;-
18.12.2019;14:00;15:00;-;-;-;-
18.12.2019;15:00;16:00;-;-;-;-
18.12.2019;16:00;17:00;-;-;-;-
18.12.2019;17:00;18:00;-;-;-;-
18.12.2019;18:00;19:00;-;-;-;-
