Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
01.01.2020;00:00;01:00;502;323;478;0
01.01.2020;01:00;02:00;502;387;487;0
01.01.2020;02:00;03:00;501;471;494;0
01.01.2020;03:00;04:00;504;561;492;0
01.01.2020;04:00;05:00;503;606;492;0
01.01.2020;05:00;06:00;503;609;495;0
01.01.2020;06:00;07:00;503;606;497;0
01.01.2020;07:00;08:00;503;607;495;0
01.01.2020;08:00;09:00;504;606;496;0
01.01.2020;09:00;10:00;502;608;495;0
01.01.2020;10:00;11:00;504;607;496;0
01.01.2020;11:00;12:00;501;607;495;0
01.01.2020;12:00;13:00;501;608;495;0
01.01.2020;13:00;14:00;473;608;498;0
01.01.2020;14:00;15:00;501;607;496;0
01.01.2020;15:00;16:00;501;607;493;0
01.01.2020;16:00;17:00;501;606;494;0
01.01.2020;17:00;18:00;494;607;494;0
01.01.2020;18:00;19:00;485;608;495;0
01.01.2020;19:00;20:00;476;606;493;0
01.01.2020;20:00;21:00;483;606;478;0
01.01.2020;21:00;22:00;500;608;490;0
01.01.2020;22:00;23:00;502;607;493;0
01.01.2020;23:00;00:00;502;606;489;0
02.01.2020;00:00;01:00;496;604;479;0
02.01.2020;01:00;02:00;501;607;485;0
02.01.2020;02:00;03:00;501;607;486;0
02.01.2020;03:00;04:00;494;597;479;0
02.01.2020;04:00;05:00;501;600;483;0
02.01.2020;05:00;06:00;485;572;472;0
02.01.2020;06:00;07:00;464;533;451;0
02.01.2020;07:00;08:00;454;552;473;0
02.01.2020;08:00;09:00;499;564;482;0
02.01.2020;09:00;10:00;500;569;487;0
02.01.2020;10:00;11:00;500;599;486;0
02.01.2020;11:00;12:00;501;589;486;0
02.01.2020;12:00;13:00;500;574;487;0
02.01.2020;13:00;14:00;502;578;485;0
02.01.2020;14:00;15:00;502;570;481;0
02.01.2020;15:00;16:00;501;577;479;0
02.01.2020;16:00;17:00;497;574;479;0
02.01.2020;17:00;18:00;501;577;479;0
02.01.2020;18:00;19:00;499;576;480;0
02.01.2020;19:00;20:00;502;580;480;0
02.01.2020;20:00;21:00;499;577;480;0
02.01.2020;21:00;22:00;500;582;484;0
02.01.2020;22:00;23:00;495;579;483;0
02.01.2020;23:00;00:00;430;568;469;0
03.01.2020;00:00;01:00;408;325;482;0
03.01.2020;01:00;02:00;411;219;483;0
03.01.2020;02:00;03:00;413;218;484;0
03.01.2020;03:00;04:00;410;275;419;0
03.01.2020;04:00;05:00;410;229;380;0
03.01.2020;05:00;06:00;409;253;381;0
03.01.2020;06:00;07:00;410;289;372;0
03.01.2020;07:00;08:00;409;248;389;0
03.01.2020;08:00;09:00;419;318;399;0
03.01.2020;09:00;10:00;439;401;415;0
03.01.2020;10:00;11:00;421;465;398;0
03.01.2020;11:00;12:00;439;553;415;0
03.01.2020;12:00;13:00;441;570;477;0
03.01.2020;13:00;14:00;430;579;470;0
03.01.2020;14:00;15:00;422;563;460;0
03.01.2020;15:00;16:00;431;563;471;0
03.01.2020;16:00;17:00;427;557;451;0
03.01.2020;17:00;18:00;407;556;421;0
03.01.2020;18:00;19:00;408;502;411;0
03.01.2020;19:00;20:00;425;380;371;0
03.01.2020;20:00;21:00;405;382;182;0
03.01.2020;21:00;22:00;400;288;176;0
03.01.2020;22:00;23:00;402;318;173;0
03.01.2020;23:00;00:00;400;298;172;0
04.01.2020;00:00;01:00;401;275;169;0
04.01.2020;01:00;02:00;401;281;169;0
04.01.2020;02:00;03:00;402;435;196;0
04.01.2020;03:00;04:00;401;569;198;0
04.01.2020;04:00;05:00;400;450;170;0
04.01.2020;05:00;06:00;401;456;193;0
04.01.2020;06:00;07:00;401;457;193;0
04.01.2020;07:00;08:00;402;533;190;0
04.01.2020;08:00;09:00;405;305;189;0
04.01.2020;09:00;10:00;409;309;182;0
04.01.2020;10:00;11:00;406;362;180;0
04.01.2020;11:00;12:00;406;406;182;0
04.01.2020;12:00;13:00;401;485;181;0
04.01.2020;13:00;14:00;402;352;172;0
04.01.2020;14:00;15:00;401;441;209;0
04.01.2020;15:00;16:00;399;536;400;0
04.01.2020;16:00;17:00;418;584;403;0
04.01.2020;17:00;18:00;501;585;483;0
04.01.2020;18:00;19:00;500;584;483;0
04.01.2020;19:00;20:00;500;583;484;0
04.01.2020;20:00;21:00;500;575;484;0
04.01.2020;21:00;22:00;499;582;487;0
04.01.2020;22:00;23:00;498;582;488;0
04.01.2020;23:00;00:00;499;581;487;0
05.01.2020;00:00;01:00;492;582;486;0
05.01.2020;01:00;02:00;491;583;485;0
05.01.2020;02:00;03:00;499;580;488;0
05.01.2020;03:00;04:00;500;590;489;0
05.01.2020;04:00;05:00;498;578;488;0
05.01.2020;05:00;06:00;499;578;488;0
05.01.2020;06:00;07:00;503;569;488;0
05.01.2020;07:00;08:00;500;572;486;0
05.01.2020;08:00;09:00;498;574;485;0
05.01.2020;09:00;10:00;486;584;485;0
05.01.2020;10:00;11:00;494;583;487;0
05.01.2020;11:00;12:00;497;580;489;0
05.01.2020;12:00;13:00;500;580;489;0
05.01.2020;13:00;14:00;501;591;488;0
05.01.2020;14:00;15:00;499;600;488;0
05.01.2020;15:00;16:00;501;597;489;0
05.01.2020;16:00;17:00;497;599;488;0
05.01.2020;17:00;18:00;499;597;488;0
05.01.2020;18:00;19:00;501;594;489;0
05.01.2020;19:00;20:00;498;590;487;0
05.01.2020;20:00;21:00;496;610;450;0
05.01.2020;21:00;22:00;498;500;448;0
05.01.2020;22:00;23:00;499;356;443;0
05.01.2020;23:00;00:00;500;255;446;0
06.01.2020;00:00;01:00;491;0;449;0
06.01.2020;01:00;02:00;488;0;447;0
06.01.2020;02:00;03:00;494;0;453;0
06.01.2020;03:00;04:00;479;0;429;0
06.01.2020;04:00;05:00;495;0;453;0
06.01.2020;05:00;06:00;497;0;454;0
06.01.2020;06:00;07:00;496;0;444;0
06.01.2020;07:00;08:00;495;0;443;0
06.01.2020;08:00;09:00;502;0;433;0
06.01.2020;09:00;10:00;502;0;436;0
06.01.2020;10:00;11:00;498;0;440;0
06.01.2020;11:00;12:00;501;0;439;0
06.01.2020;12:00;13:00;500;0;426;0
06.01.2020;13:00;14:00;499;0;440;0
06.01.2020;14:00;15:00;500;0;433;0
06.01.2020;15:00;16:00;500;0;433;0
06.01.2020;16:00;17:00;497;0;425;0
06.01.2020;17:00;18:00;500;0;425;0
06.01.2020;18:00;19:00;501;0;410;0
06.01.2020;19:00;20:00;502;0;411;0
06.01.2020;20:00;21:00;502;0;415;0
06.01.2020;21:00;22:00;501;0;416;0
06.01.2020;22:00;23:00;501;0;420;0
06.01.2020;23:00;00:00;501;0;422;0
07.01.2020;00:00;01:00;491;0;424;0
07.01.2020;01:00;02:00;502;0;432;0
07.01.2020;02:00;03:00;498;0;419;0
07.01.2020;03:00;04:00;489;0;419;0
07.01.2020;04:00;05:00;491;0;419;0
07.01.2020;05:00;06:00;501;0;450;0
07.01.2020;06:00;07:00;499;0;454;0
07.01.2020;07:00;08:00;499;0;457;0
07.01.2020;08:00;09:00;499;0;455;0
07.01.2020;09:00;10:00;500;0;458;0
07.01.2020;10:00;11:00;501;0;458;0
07.01.2020;11:00;12:00;499;0;462;0
07.01.2020;12:00;13:00;476;0;462;0
07.01.2020;13:00;14:00;492;0;464;0
07.01.2020;14:00;15:00;500;0;458;0
07.01.2020;15:00;16:00;499;0;452;0
07.01.2020;16:00;17:00;501;0;453;0
07.01.2020;17:00;18:00;501;0;453;0
07.01.2020;18:00;19:00;502;0;432;0
07.01.2020;19:00;20:00;501;0;426;0
07.01.2020;20:00;21:00;497;0;429;0
07.01.2020;21:00;22:00;501;0;431;0
07.01.2020;22:00;23:00;499;0;415;0
